envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,ltmMapLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
2325000,14500,0.0,0.526,4.6727,1.8273,0.1309,2.6861,0.0027,0.0,0.0002,0.0055,0.0101,0.499,1.7756,0.6048,0.0444,0.002,1.7702,0.3086
2400000,15000,0.0,0.154,4.7351,1.9772,0.1317,2.599,0.0017,0.0,0.0094,0.0039,0.0041,0.6591,1.0042,0.5446,0.021,0.0002,1.8893,0.3715
2475000,15500,0.0,0.24,4.6407,2.0132,0.1808,2.4272,0.0029,0.0,0.0002,0.0042,0.0005,0.4093,0.975,0.635,0.0077,0.0028,1.8214,0.4286
2550000,16000,0.0,0.534,4.5226,1.8558,0.1634,2.4731,0.0014,0.0,0.0005,0.0032,0.0046,0.3782,0.9502,0.7174,0.0241,-0.0003,1.8579,0.3463
2625000,16500,0.0,0.42,4.2058,1.8222,0.142,2.2337,0.0013,0.0,0.0002,0.0027,0.0006,0.3352,0.9635,0.6128,0.0113,-0.0004,1.7826,0.3888
2700000,17000,0.0,0.412,4.2874,1.8994,0.1755,2.197,0.001,0.0,0.0005,0.0052,-0.0013,0.5236,0.8426,0.5124,0.0068,-0.0023,1.6262,0.3018
2775000,17500,0.0,0.086,4.4624,1.9932,0.1666,2.2743,0.0016,0.0,0.0016,0.005,0.0132,0.2244,3.0782,0.8295,0.1962,0.0156,2.5862,0.8431
2850000,18000,0.0,1.76,4.4816,2.132,0.1912,2.1235,0.0021,0.0,0.0035,0.0052,0.0021,0.3277,0.973,0.5829,0.0121,0.0079,1.9921,1.3204
2925000,18500,6.94,3.498,4.334,1.8486,0.1437,2.3354,0.0011,0.0,0.0002,0.0017,0.0,0.3209,0.9298,0.702,0.012,-0.0047,1.8856,1.2908
3000000,19000,19.51,4.316,4.7595,1.81,0.1307,2.7883,0.002,0.0,0.0015,0.0047,0.002,0.2619,1.0641,0.6667,0.0275,-0.001,1.9746,0.8757
3075000,19500,12.92,2.81,4.646,1.7612,0.1447,2.6963,0.0012,0.0,0.0021,0.0047,-0.0009,0.264,0.9335,0.5996,0.0051,-0.0001,1.8082,0.8685
3150000,20000,15.64,2.53,4.0913,1.8044,0.1307,2.1385,0.0011,0.0,0.0009,0.0043,0.0001,0.2179,0.9163,0.6202,0.0036,-0.0021,1.894,0.8572
3225000,20500,18.97,2.694,4.0469,1.8752,0.1307,2.0351,0.0009,0.0,0.0008,0.0014,-0.0007,0.3275,0.7893,0.6136,0.0098,-0.0059,1.7576,0.9569
3300000,21000,22.43,1.934,4.1338,1.8589,0.1307,2.139,0.0007,0.0,0.0003,0.0032,-0.0008,0.3072,0.9224,0.5558,0.0057,-0.0008,1.7549,0.8824
3375000,21500,0.0,1.89,4.2145,1.7619,0.1307,2.3034,0.0008,0.0,0.0001,0.0034,-0.0001,0.3191,0.9714,0.6295,0.0044,0.0009,1.7143,0.7623
3450000,22000,19.15,2.168,4.0068,1.8647,0.1307,1.9997,0.001,0.0,0.0018,0.0015,0.0013,0.2114,0.9468,0.4662,0.0278,0.0005,1.7429,0.7862
3525000,22500,19.04,2.366,4.2906,1.8577,0.1688,2.237,0.0008,0.0,0.0005,0.0055,0.0024,0.2094,1.1546,0.574,0.0435,0.0009,1.9118,0.6381
3600000,23000,23.27,2.51,4.1754,1.7347,0.1474,2.2823,0.0009,0.0,0.0,0.0047,0.001,0.2176,1.0978,0.5734,0.0197,-0.002,1.7337,0.4227
3675000,23500,20.02,3.104,4.3021,1.7292,0.1588,2.4043,0.0021,0.0,0.0005,0.0017,0.0006,0.1647,1.1052,0.5942,0.0233,0.0002,1.9005,0.45
3750000,24000,17.82,2.202,4.285,1.8595,0.1981,2.2099,0.0034,0.0,0.0,0.0039,-0.0006,0.1801,0.9674,0.6169,0.0078,0.0003,1.714,0.2894
3825000,24500,22.84,1.792,4.2194,1.7145,0.1373,2.3576,0.0036,0.0,0.0001,0.0044,0.0032,0.2651,1.1109,0.568,0.0166,-0.001,2.0049,0.2703
3900000,25000,5.9,2.004,4.0502,1.7222,0.1469,2.169,0.0018,0.0,0.0,0.0037,0.0013,0.297,1.12,0.5839,0.0148,-0.0006,2.0113,0.2802
3975000,25500,25.51,2.158,3.9417,1.8555,0.1464,1.9101,0.0024,0.0,0.0001,0.0057,0.0018,0.2108,1.3523,0.5758,0.0385,0.0001,2.2949,0.1913
4050000,26000,8.17,3.058,4.3071,1.7153,0.1424,2.4381,0.0042,0.0,0.0001,0.0088,0.0021,0.2535,1.1181,0.7306,0.0268,0.0055,2.2637,0.5046
4125000,26500,7.45,2.308,4.2247,1.7453,0.1497,2.3236,0.0018,0.0,0.0,0.0049,0.0021,0.1862,1.145,0.4951,0.0375,-0.0009,2.393,0.3479
4200000,27000,19.45,3.26,4.473,1.8028,0.1649,2.4948,0.0024,0.0,0.0001,0.0024,0.0025,0.1863,1.1835,0.6594,0.0385,-0.0086,2.4656,0.3849
4275000,27500,21.99,2.314,4.1804,1.7571,0.1507,2.2468,0.002,0.0,0.0,0.0093,0.0014,0.1821,1.1324,0.4686,0.0252,-0.0036,2.5397,0.2357
4350000,28000,22.58,2.286,4.1443,1.6909,0.1485,2.2975,0.0016,0.0,0.0,0.0025,-0.0006,0.2313,1.0547,0.5929,0.0089,-0.0013,2.4138,0.1542
4425000,28500,16.32,3.23,4.2993,1.7329,0.1874,2.3638,0.0009,0.0,0.0,0.0025,0.0025,0.2063,1.111,0.6034,0.0311,0.0021,2.4171,0.2116
4500000,29000,19.04,2.422,4.3525,1.6455,0.1476,2.5182,0.0013,0.0,0.0,0.0031,-0.0009,0.2521,1.051,0.6941,0.0076,-0.0054,2.3316,0.1792
4575000,29500,20.91,2.462,4.0376,1.6829,0.147,2.1956,0.0008,0.0,0.0,0.0062,0.0011,0.1837,1.0735,0.6993,0.0208,-0.0011,2.3952,0.1613
4650000,30000,17.97,2.348,4.1164,1.668,0.1547,2.2855,0.001,0.0,0.0,0.0031,-0.0001,0.2345,0.9945,0.5412,0.0078,-0.0001,2.303,0.1164
4725000,30500,19.01,2.292,3.8922,1.7083,0.1307,2.047,0.0004,0.0,0.0,0.0045,0.0002,0.2234,1.0378,0.6313,0.012,0.0018,2.2486,0.1742
4800000,31000,18.48,2.64,3.7996,1.701,0.1394,1.9524,0.0002,0.0,0.0,0.0035,0.0017,0.2449,1.047,0.817,0.0117,0.0126,2.3484,0.2163
4875000,31500,28.8,2.688,3.8491,1.6577,0.1307,2.0551,0.0002,0.0,0.0,0.0036,-0.0003,0.3346,0.9835,0.4895,0.005,0.0001,2.1217,0.1265
4950000,32000,28.62,2.356,4.1074,1.5631,0.1582,2.3714,0.0003,0.0,0.0,0.0019,0.0026,0.2988,1.1398,0.5237,0.0217,0.0004,2.3248,0.1171
5025000,32500,24.94,2.984,4.2753,1.569,0.1657,2.5192,0.0003,0.0,0.0,0.0051,0.0013,0.3565,1.1366,0.4692,0.0124,-0.0019,2.3452,0.0966
5100000,33000,25.68,2.774,4.012,1.5706,0.1704,2.2691,0.0004,0.0,0.0001,0.0059,-0.0002,0.4126,1.1052,0.5083,0.0025,0.0003,2.1865,0.1807
5175000,33500,21.24,2.868,4.2628,1.5759,0.1523,2.5166,0.0012,0.0,0.0002,0.0032,0.0005,0.4639,1.0495,0.5722,0.0064,-0.001,2.3156,0.1214
5250000,34000,22.83,2.616,4.0684,1.5876,0.1612,2.3116,0.0009,0.0,0.0002,0.0106,-0.0007,0.5173,0.9447,0.4644,0.0033,-0.0002,2.1428,0.1378
5325000,34500,19.87,3.04,4.0066,1.5947,0.1564,2.2514,0.0003,0.0,0.0001,0.0023,-0.0003,0.3857,1.0424,0.3716,0.0089,-0.0001,2.3235,0.0984
5400000,35000,20.48,3.52,4.0611,1.6365,0.1548,2.2625,0.0004,0.0,0.0,0.0043,0.0013,0.4585,1.115,0.5639,0.0131,0.0008,2.2826,0.1775
5475000,35500,21.22,2.504,4.2254,1.5441,0.1609,2.5168,0.0002,0.0,0.0001,0.011,0.0015,0.4793,1.0501,0.4384,0.0091,-0.001,2.104,0.1624
5550000,36000,27.74,2.938,3.8614,1.636,0.1642,2.0579,0.0002,0.0,0.0001,0.0018,0.0008,0.4279,1.0814,0.5942,0.011,0.0008,2.2354,0.1446
5625000,36500,28.04,3.17,4.218,1.5959,0.1391,2.4132,0.0003,0.0,0.0001,0.0061,-0.0008,0.647,0.9934,0.5205,0.0053,0.0016,2.2032,0.1563
5700000,37000,18.47,4.592,4.1986,1.5521,0.1402,2.4992,0.0006,0.0,0.0001,0.005,0.0001,0.5774,1.0506,0.6772,0.0007,0.0076,2.0927,0.5545
5775000,37500,9.59,3.344,4.3084,1.4996,0.1967,2.6032,0.0003,0.0,0.0,0.0039,0.0001,0.6758,1.0418,0.6158,0.002,0.0053,1.7162,0.736
5850000,38000,23.23,5.31,4.3544,1.5627,0.1307,2.6517,0.0003,0.0,0.0,0.0074,0.0008,0.5082,1.1477,0.6546,0.0071,0.0016,1.9648,0.8134
5925000,38500,7.74,2.34,4.3657,1.514,0.1571,2.6633,0.0006,0.0,0.0001,0.0072,-0.0005,0.6113,1.0837,0.6254,0.0061,0.0002,2.2107,0.8156
6000000,39000,13.87,3.406,4.3646,1.5793,0.1542,2.6214,0.0002,0.0,0.0,0.0071,-0.0002,0.6037,1.1046,0.6857,0.0062,-0.0046,2.4225,0.7102
6075000,39500,19.01,3.296,4.1853,1.4979,0.1477,2.5318,0.0011,0.0,0.0,0.0034,-0.0001,0.4857,1.2069,0.6543,0.0077,-0.0035,2.9221,0.463
6150000,40000,23.25,3.962,4.0855,1.5532,0.1462,2.3792,0.0004,0.0,0.0001,0.0062,-0.0009,0.5752,1.0823,0.6154,0.0038,-0.0001,2.2258,0.5606
6225000,40500,24.75,3.734,4.1407,1.4658,0.1377,2.5285,0.0003,0.0,0.0,0.0092,0.0001,0.6871,1.1825,0.5698,0.0058,-0.0015,1.9617,0.52
6300000,41000,25.12,3.898,4.1348,1.4765,0.1582,2.4798,0.0003,0.0,0.0,0.006,-0.0009,0.5569,1.1428,0.4868,0.0041,-0.0028,2.6662,0.277
6375000,41500,26.62,4.214,4.029,1.4271,0.169,2.4123,0.0003,0.0,0.0,0.0081,0.0013,0.6145,1.2362,0.5958,0.0079,0.001,2.6646,0.3535
6450000,42000,16.88,2.98,4.3018,1.411,0.1897,2.691,0.0011,0.0,0.0,0.0094,-0.0004,0.7436,1.1952,0.7307,0.0031,0.0037,2.5768,0.3
6525000,42500,26.5,6.612,3.9804,1.4162,0.1849,2.3773,0.0002,0.0,0.0,0.0024,0.0013,0.6225,1.173,0.5965,0.0081,0.0009,2.9644,0.225
6600000,43000,24.02,8.814,4.0476,1.4441,0.1367,2.4569,0.0005,0.0,0.0,0.0059,0.0001,0.724,1.0849,0.5628,0.0044,0.0002,2.7746,0.1907
6675000,43500,16.23,10.852,3.9722,1.4423,0.1307,2.3919,0.0004,0.0,0.0028,0.0042,0.0011,0.6054,1.1497,0.8138,0.0024,0.0134,2.826,0.4003
6750000,44000,17.32,7.042,4.709,1.498,0.1478,3.0287,0.0014,0.0,0.017,0.007,-0.0004,0.5896,1.1707,0.8041,0.0001,0.0108,2.4487,0.9722
6825000,44500,5.7,4.196,4.3969,1.4852,0.1479,2.7329,0.0005,0.0,0.0029,0.007,-0.0005,0.7151,1.1518,0.7379,0.0026,0.0063,2.805,0.9955
6900000,45000,7.79,4.258,5.1248,1.5922,0.1483,3.3465,0.0005,0.0,0.0024,0.0075,0.0004,0.6604,1.0802,0.6435,0.0066,0.0009,3.0373,0.8809
6977500,45500,23.96,10.142,4.7511,1.5002,0.1335,3.0928,0.0005,0.0,0.0027,0.0135,-0.0006,0.6581,1.134,0.6951,0.0063,-0.0002,3.0655,0.7453
7052500,46000,19.14,14.28,4.5867,1.487,0.1307,2.9353,0.0007,0.0001,0.0159,0.012,-0.0016,0.8295,1.107,0.7638,0.0035,-0.0051,2.59,0.7889
7127500,46500,20.04,8.196,5.0821,1.4699,0.1652,3.418,0.003,0.0,0.012,0.0127,-0.0008,0.8265,1.1424,0.7363,0.0027,0.0018,2.343,0.8242
7202500,47000,17.52,14.91,5.0472,1.4306,0.1522,3.391,0.001,0.0,0.0061,0.0085,0.0013,0.6855,1.2191,0.7803,0.0093,-0.0042,2.9793,0.7652
7277500,47500,22.52,12.932,5.3133,1.4897,0.1307,3.6411,0.0023,0.0003,0.0219,0.0257,-0.0021,0.9129,1.0916,0.7244,0.0014,-0.0023,2.0155,1.0506
7352500,48000,17.21,12.102,4.9084,1.4285,0.1529,3.2812,0.0013,0.0,0.0246,0.0216,-0.0,0.7658,1.1298,0.7864,0.0039,0.0039,2.6693,1.0093
